,Object Number,image_path,Culture Area,Culture,Date Made,Description,Materials,Object Title,Period,Provenience,Section
553,22706,images/22706.jpg,Southwest Culture Area,Navajo,ca. 1870s,"Cut copper band, stamped, with an insert of stamped or punched silver; underside is also stamped or punched.",Copper,Bracelet,Mousterian,New Mexico | Gallup,American
555,22750,images/22750.jpg,Great Plains Culture Area,Sioux,two,Skin saddlebag.,Skin,Saddlebag,Kurumba,Peru | Pachacamac | Gravefield I,American
556,22976,images/22976.jpg,Southwest Culture Area,Anasazi,1200-1300,"Mesa Verde Black-on-White Ware, curved sides, flat base. Undecorated exterior, interior decorated with scroll design, rim decorated with dots.",Clay,Bowl,Mousterian,Arizona | Mesa Verde Region | San Juan Area,American
558,23030,images/23030.jpg,Southwest Culture Area,Anasazi,1200-1300,Mesa Verde Black-on-White. With handle. Pottery. Hole in handle. Decorated.,Clay,Mug,Mousterian,Colorado | Mesa Verde | Cliff House | Navajo Canyon | Montezuma County,American
559,23057,images/23057.jpg,Southwest Culture Area,Anasazi,1200-1300,Mesa Verde Black-on-white; has handle,Clay,Mug,Mousterian,Colorado | 12 Miles Northwest of Cortes | Mesa Verde,American
569,27348B,images/27348B.jpg,Andean,Inca,200-600 CE,Cover ( Calabash) of pot,Calabash,Cover,Teotihuacan III,Peru | Pachacamac | Gravefield I,American
783,29-112-236,images/29-112-236.jpg,Northeast Culture Area,Woodland,two,Slender. Stem two lobed.,Flint,Projectile Point,Roman Period,United States of America | Pennsylvania,American
794,29-112-282,images/29-112-282.jpg,Northeast Culture Area,Woodland,two,Stem two-lobed.,Flint,Projectile Point,Roman Period,United States of America | Pennsylvania,American
856,29-112-539,images/29-112-539.jpg,Northeast Culture Area,Woodland,two,Shouldered or barbed. Concave (two-lobed) base.,Flint,Projectile Point,Roman Period,United States of America | Pennsylvania (uncertain),American
857,29-112-540,images/29-112-540.jpg,Northeast Culture Area,Woodland,two,Shouldered or barbed. Concave (two-lobed) base.,Flint,Projectile Point,Roman Period,United States of America | Pennsylvania (uncertain),American
858,29-112-547,images/29-112-547.jpg,Northeast Culture Area,Woodland,two,Shouldered or barbed. Concave (two-lobed) base.,Flint,Projectile Point,Roman Period,United States of America | Pennsylvania (uncertain),American
877,29-112-855,images/29-112-855.jpg,Northeast Culture Area,Woodland,one,"Ends almost straight, long edges concave; two holes. ""Northumberland PA"" written on one side in white ink.",Slate,Gorget,Mousterian,United States of America | Pennsylvania | Northumberland County,American
1062,29-134-190.6,images/29-134-190.6.jpg,Northeast Culture Area,Woodland,1,1 piece of rim.,Ceramic,Rim Sherd,Late Minoan I,United States of America | Pennsylvania | Clinton County | Lock Haven,American
1063,29-134-191.14,images/29-134-191.14.jpg,Northeast Culture Area,Woodland,1,"1 sherd, undecorated.",Ceramic,Sherd,Late Minoan I,United States of America | Pennsylvania | Clinton County | Lock Haven,American
1064,29-150-18,images/29-150-18.jpg,Central American,Maya (Central American Culture),150-900 CE,Jade or jadeite pendant carved with a stylized royal portrait,Jadeite,Amulet,Late Classic,Mexico (Central America),American
1074,29-175-21,images/29-175-21.jpg,Northwest Coast Culture Area,Kwakiutl,1850-1899 CE,"Human face. Hair of cedar bark and grey horsehair. Mustache of horsehair. Pupils, nostrils and down curved mouth pierced. Eyebrows, eyes, nose and lips carved in relief. Black paint: two of carved grooves on forehead; eyebrows; rows of dashes above and below eyes; extended, hooked tip of nose; lips; center of chin. Blue paint: around eyes across bridge of nose. Red paint: ""whites"" of eyes, marks on cheeks, alae of nose. Narrow, curved strips of wood nailed on each side of face.",Wood | Cedar Bark | Hair | Pigment,Mask,Late 19th Century,Canada | British Columbia,American
1075,29-175-34,images/29-175-34.jpg,Northwest Coast Culture Area,Nuu-chah-nulth,Two,Head of wolf. Large round eyes en-circled by grooce; raised irises inset with scraps of mica or pyrite. Tip of upturned nose surrounded with bristles. Large pierced nostrils and mouth lined with red paint. Movable jaw. Natural wood teeth nailed in upper jaw. Ears separate pieces. Most of mask painted black; inside of ears unpainted. Two small holes on each side of mask for attachment.,Wood | Pyrite | Hair | Pigment,Mask,Birnirk,Canada | British Columbia | Vancouver Island,American
1091,29-201-682,images/29-201-682.jpg,North Africa,Wanyakyusa,19th century CE,"Open base; convex sides constricted slightly below flaring top. Buff ware painted in vertical panels predominately orange-red with scroll and dots pattern in yellow and white, and with wide outlining bands of blue with narrow white edge. Skin drumhead pasted on is painted in curvilinear design in orange-red, green white, yellow and black.",Ceramic | Parchment,Goblet Drum,19th Century,Morocco,African
1092,29-201-687,images/29-201-687.jpg,North Africa,Wanyakyusa,five,"Wooden frame; skin head painted blue; five pairs of tin rattles. Wood painted red with bands of blue and white and with circular motifs on the outside and floral ones on the inside-- blue, white, green.",Wood | Skin | Tin,Tambourine,Proto-Nasca,Morocco,African
1103,29-228-1,images/29-228-1.jpg,Northwest Coast Culture Area,Haida,early 20th century,"The Village of Haina (""Sunshine Town""): Model portrays 2 houses from the Haida Indian Village of Haina, located in the Queen Charlotte archipelago off the Coast of British Columbia, Canada. The Haida settled Haina in the 1850's, then abandoned it 30 years later after diseases introduced by Europeans had caused severe depopulation. Made by Louis Shotridge",Cedar | Spruce | Paint | Stone | Plastic Resin,The Village of Haina,Joseon Dynasty,Canada | British Columbia | Queen Charlotte Islands | Haina,American
1104,29-228-2,images/29-228-2.jpg,Northwest Coast Culture Area,Tlingit,1912-1913,"Model of Klukwan. Louis Shotridge completed this model of Klukwan, his native village, in 1913. The model shows only the central section of Klukwan, which at one time had 65 houses. Although Shotridge had no previous experience building models, he skillfully crafted every detail of the model.",Cedar | Spruce | Paint | Hide | Stone | Plastic Resin,Village of Klukwan,Roman Period,United States of America | Alaska | Klukwan,American
1122,29-41-1201,images/29-41-1201.jpg,Central American,Mixtec,1,fire god,Stone,Figurine,Late Minoan I,Mexico (Central America) | Oaxaca (Mexican State),American
1123,29-41-701,images/29-41-701.jpg,Central American,Zapotec,200-600 CE,"Brown ware, black slip; ocelot, ""tiger god ceremonial for initiates""",Ceramic,Effigy Vessel,Teotihuacan III,Mexico (Central America) | Oaxaca (Mexican State) | Zaachila,American
1124,29-41-702,images/29-41-702.jpg,Central American,Zapotec,200-600 CE,"Grey ware, seated cross legged, masked",Ceramic,Effigy Urn,Teotihuacan III,Mexico (Central America) | Oaxaca (Mexican State),American
1125,29-41-703,images/29-41-703.jpg,Central American,Zapotec,200-600 CE,"Brown ware, seated cross legged, mouth mask",Ceramic,Effigy Urn,Teotihuacan III,Mexico (Central America) | Oaxaca (Mexican State) | Ejutla,American
1126,29-41-718,images/29-41-718.jpg,Central American,Zapotec,200-600 CE,"Grey Ware, ""fire god"" red paint, mouth mask, speech symbol?",Clay | Paint,Effigy Urn,Teotihuacan III,Mexico (Central America) | Oaxaca (Mexican State),American
1127,29-41-726,images/29-41-726.jpg,Central American,Zapotec,200-600 CE,A probable ancestor effigy wearing a peccary headdress.,Ceramic,Effigy Urn,Teotihuacan III,Mexico (Central America) | Oaxaca (Mexican State) | Miahuatlan,American
1128,29-41-728,images/29-41-728.jpg,Central American,Zapotec,200-600 CE,"Grey Ware, ""King priest"" seated cross legged,tapir mask, breast plate",Clay,Effigy Urn,Teotihuacan III,Mexico (Central America) | Oaxaca (Mexican State),American
1129,29-41-753,images/29-41-753.jpg,Central American,Zapotec,half,Grey ware. mask or part of urn; face wearing half mask,Ceramic,Mask (uncertain),Cypro-Geometric IA,Mexico (Central America) | Oaxaca (Mexican State) | Etla,American
1130,29-41-770,images/29-41-770.jpg,Central American,Zapotec,200-900 CE,"Teapot vessel, Grey ware. Globular depressed body; high straight neck, wide flaring rim. Incised design. One handle.",Clay,Teapot,Monte Alban II | Monte Alban III,Mexico (Central America) | Oaxaca (Mexican State) | Mitla,American
1131,29-41-887,images/29-41-887.jpg,Central American,Cocle,200-900 CE,No description available,Obsidian,Core,Monte Alban II | Monte Alban III,Mexico (Central America) | Oaxaca (Mexican State),American
1132,29-41-894.1,images/29-41-894.1.jpg,Central American,Cocle,200-900 CE,51 projectile points; stemmed projectile points. See 29-41-894.1 - 29-41-894.51,Obsidian,Point,Monte Alban II | Monte Alban III,Mexico (Central America) | Oaxaca (uncertain) | Teotihuacan (uncertain),American
1133,29-41-894.2,images/29-41-894.2.jpg,Central American,Cocle,200-900 CE,51 projectile points; stemmed projectile points. See 29-41-894.1 - 29-41-894.51,Obsidian,Point,Monte Alban II | Monte Alban III,Mexico (Central America) | Oaxaca (uncertain) | Teotihuacan (uncertain),American
1134,29-41-894.3,images/29-41-894.3.jpg,Central American,Cocle,200-900 CE,51 projectile points; stemmed projectile points. See 29-41-894.1 - 29-41-894.51,Obsidian,Point,Monte Alban II | Monte Alban III,Mexico (Central America) | Oaxaca (uncertain) | Teotihuacan (uncertain),American
1135,29-41-894.4,images/29-41-894.4.jpg,Central American,Cocle,200-900 CE,51 projectile points; stemmed projectile points. See 29-41-894.1 - 29-41-894.51,Obsidian,Point,Monte Alban II | Monte Alban III,Mexico (Central America) | Oaxaca (uncertain) | Teotihuacan (uncertain),American
1136,29-41-905,images/29-41-905.jpg,Central American,Cocle,200-900 CE,"stemmed, barbed",Obsidian,Point,Monte Alban II | Monte Alban III,Mexico (Central America) | Puebla (Mexican State) | Chalchicomula,American
1137,29-41-912,images/29-41-912.jpg,Central American,Zapotec,200-900 CE,No description available,Obsidian,Ritual Blade,Monte Alban II | Monte Alban III,Mexico (Central America) | Oaxaca (Mexican State) | San Juan Teotitlan del Camino,American
1138,29-41-964A,images/29-41-964A.jpg,Central American,Zapotec (uncertain),1,12 beads from 1 necklace,Shell,Beads,Late Minoan I,Mexico (Central America) | Oaxaca (uncertain),American
1139,29-41-988A,images/29-41-988A.jpg,Central American,Mixtec,1,1 bead; cylindrical,Jadeite,Bead,Late Minoan I,Mexico (Central America) | Oaxaca (Mexican State) | Mixteca Alta | San Juan Teposcolula,American
1140,29-41-989A,images/29-41-989A.jpg,Central American,Mixtec,1,"grey stone, disc",Stone,Bead,Late Minoan I,Mexico (Central America) | Oaxaca (Mexican State),American
1144,29-47-26,images/29-47-26.jpg,Southeast Culture Area,Seminole,ca. 1890,"Man's Big Shirt. Calico; crosswise stripes; many colours, but dark blue predominates.",Cotton,Male Dress,Joseon Dynasty,United States of America | Florida | Fort Lauderdale,American
1146,29-47-59D,images/29-47-59D.jpg,Great Plains Culture Area,Sioux,Three,"Three-feathered. Long triangular iron point. Three straight grooves.
(d) with black band near nock.",Wood | Iron | Feather,Arrow,Achaemenid,Great Plains (Plain),American
1147,29-48-131A,images/29-48-131A.jpg,Great Plains Culture Area,Sioux,5,Series of 5 arrows (-a through -e).,Reed (plant) | Hawk Feather | Sinew | Iron,Arrow,Joseon Dynasty,United States of America,American
1148,29-48-347,images/29-48-347.jpg,Northwest Coast Culture Area,Tlingit,11,"Spruce root; fine weave; five lines of false embroidery in yellow grass. Cloth strap handle.
(wd 11)",Spruce Root | Fabric,Basket,Paleolithic,United States of America | Alaska,American
1164,29-61-36A,images/29-61-36A.jpg,Central Africa,Makrak,29,29-61-36A -- Section of large trunk of tree hollowed out through slit.,Wood,Signal Gong,Pueblo III (uncertain),Cameroon,African
1165,29-61-36B,images/29-61-36B.jpg,Central Africa,Makrak,29,29-61-36B-- 1 roughly trimmed stick of a light wood having pithy heart,Wood,Gong Striker,Pueblo III (uncertain),Cameroon,African
1167,29-64-248,images/29-64-248.jpg,Great Plains Culture Area,Indian,1506 CE,"Relief of horseman. Slab of greenish grey stone with relief in flat low plane with edges cut straight back. Equestrian portrait of a warrior with bow and arrows, shield and sword, riding a horse richly caparisoned and covered with a richly decorated cloth. The incised inscription in the upper left corner is in corrupt Sanskrit written in a late variety of Sharada script known as Devāśeṣa. The date is clearly legible, ""on Friday, the 9th, of the dark fortnight of Magha in the year 82."" Dr. Coormaraswamy judges this to the 1506 CE. The piece was discovered at Huskapura, modern day Ushkur.",Limestone | Stone,Relief,16th Century,India | Kashmir | Huskapura,Asian
